"ZCTA","UHF_id","zip_code"
10001,"306",10001
10002,"309",10002
10003,"309",10003
10004,"310",10004
10005,"310",10005
10006,"310",10006
10007,"310",10007
10009,"309",10009
10010,"307",10010
10011,"306",10011
10012,"308",10012
10013,"308",10013
10014,"308",10014
10016,"307",10016
10017,"307",10017
10018,"306",10018
10019,"306",10019
10020,"306",10020
10021,"305",10021
10022,"307",10022
10023,"304",10023
10024,"304",10024
10025,"304",10025
10026,"302",10026
10027,"302",10027
10028,"305",10028
10029,"303",10029
10030,"302",10030
10031,"301",10031
10032,"301",10032
10033,"301",10033
10034,"301",10034
10035,"303",10035
10036,"306",10036
10037,"302",10037
10038,"310",10038
10039,"301",10039
10040,"301",10040
10044,"305",10044
10065,"305",10065
10069,"304",10069
10075,"305",10075
10103,"306",10103
10110,"306",10110
10111,"306",10111
10112,"306",10112
10115,"302",10115
10119,"306",10119
10128,"305",10128
10152,"307",10152
10153,"307",10153
10154,"307",10154
10162,"305",10162
10165,"307",10165
10167,"307",10167
10168,"307",10168
10169,"307",10169
10170,"307",10170
10171,"307",10171
10172,"307",10172
10173,"307",10173
10174,"307",10174
10177,"307",10177
10199,"306",10199
10271,"310",10271
10278,"310",10278
10279,"310",10279
10280,"310",10280
10282,"310",10282
10301,"502",10301
10302,"501",10302
10303,"501",10303
10304,"502",10304
10305,"502",10305
10306,"504",10306
10307,"504",10307
10308,"504",10308
10309,"504",10309
10310,"501",10310
10311,"503",10311
10312,"504",10312
10314,"503",10314
10451,"106",10451
10452,"106",10452
10453,"105",10453
10454,"107",10454
10455,"107",10455
10456,"106",10456
10457,"105",10457
10458,"103",10458
10459,"107",10459
10460,"105",10460
10461,"104",10461
10462,"104",10462
10463,"101",10463
10464,"104",10464
10465,"104",10465
10466,"102",10466
10467,"103",10467
10468,"103",10468
10469,"102",10469
10470,"103",10470
10471,"101",10471
10472,"104",10472
10473,"104",10473
10474,"107",10474
10475,"102",10475
11004,"409",11004
11005,"409",11005
11101,"401",11101
11102,"401",11102
11103,"401",11103
11104,"401",11104
11105,"401",11105
11106,"401",11106
11109,"401",11109
11201,"202",11201
11203,"207",11203
11204,"206",11204
11205,"202",11205
11206,"211",11206
11207,"204",11207
11208,"204",11208
11209,"209",11209
11210,"207",11210
11211,"201",11211
11212,"203",11212
11213,"203",11213
11214,"209",11214
11215,"202",11215
11216,"203",11216
11217,"202",11217
11218,"206",11218
11219,"206",11219
11220,"205",11220
11221,"211",11221
11222,"201",11222
11223,"210",11223
11224,"210",11224
11225,"207",11225
11226,"207",11226
11228,"209",11228
11229,"210",11229
11230,"206",11230
11231,"202",11231
11232,"205",11232
11233,"203",11233
11234,"208",11234
11235,"210",11235
11236,"208",11236
11237,"211",11237
11238,"203",11238
11239,"208",11239
11351,"403",11351
11354,"403",11354
11355,"403",11355
11356,"403",11356
11357,"403",11357
11358,"403",11358
11359,"403",11359
11360,"403",11360
11361,"404",11361
11362,"404",11362
11363,"404",11363
11364,"404",11364
11365,"406",11365
11366,"406",11366
11367,"406",11367
11368,"403",11368
11369,"402",11369
11370,"402",11370
11372,"402",11372
11373,"402",11373
11374,"405",11374
11375,"405",11375
11377,"402",11377
11378,"402",11378
11379,"405",11379
11385,"405",11385
11411,"409",11411
11412,"408",11412
11413,"409",11413
11414,"407",11414
11415,"407",11415
11416,"407",11416
11417,"407",11417
11418,"407",11418
11419,"407",11419
11420,"407",11420
11421,"407",11421
11422,"409",11422
11423,"408",11423
11424,"407",11424
11425,"209",11425
11426,"409",11426
11427,"409",11427
11428,"409",11428
11429,"409",11429
11432,"408",11432
11433,"408",11433
11434,"408",11434
11435,"408",11435
11436,"408",11436
11451,"408",11451
11691,"410",11691
11692,"410",11692
11694,"410",11694
11697,"410",11697
